Processing 5933 LIFT targets with 24 workers
  100/5933 (47 skip, 32 nodisa, 0 fail) 16.7/s eta=349s
  200/5933 (129 skip, 35 nodisa, 0 fail) 25.3/s eta=227s
  300/5933 (172 skip, 54 nodisa, 0 fail) 22.7/s eta=248s
  400/5933 (228 skip, 76 nodisa, 0 fail) 24.0/s eta=231s
  500/5933 (279 skip, 101 nodisa, 0 fail) 23.8/s eta=228s
  600/5933 (354 skip, 117 nodisa, 0 fail) 25.3/s eta=211s
  700/5933 (425 skip, 145 nodisa, 0 fail) 27.1/s eta=193s
  800/5933 (509 skip, 161 nodisa, 0 fail) 29.3/s eta=175s
  900/5933 (577 skip, 193 nodisa, 0 fail) 29.9/s eta=168s
  1000/5933 (657 skip, 213 nodisa, 0 fail) 31.4/s eta=157s
  1100/5933 (729 skip, 241 nodisa, 0 fail) 31.8/s eta=152s
  1200/5933 (804 skip, 266 nodisa, 0 fail) 32.5/s eta=146s
  1300/5933 (883 skip, 287 nodisa, 0 fail) 33.4/s eta=139s
  1400/5933 (963 skip, 307 nodisa, 0 fail) 34.6/s eta=131s
  1500/5933 (1042 skip, 328 nodisa, 0 fail) 35.4/s eta=125s
  1600/5933 (1121 skip, 349 nodisa, 0 fail) 35.9/s eta=121s
  1700/5933 (1189 skip, 381 nodisa, 0 fail) 36.1/s eta=117s
  1800/5933 (1266 skip, 404 nodisa, 0 fail) 36.5/s eta=113s
  1900/5933 (1342 skip, 428 nodisa, 0 fail) 37.2/s eta=108s
  2000/5933 (1413 skip, 457 nodisa, 0 fail) 37.3/s eta=105s
  2100/5933 (1486 skip, 484 nodisa, 0 fail) 37.5/s eta=102s
  2200/5933 (1558 skip, 512 nodisa, 0 fail) 37.6/s eta=99s
  2300/5933 (1630 skip, 540 nodisa, 0 fail) 37.5/s eta=97s
  2400/5933 (1704 skip, 566 nodisa, 0 fail) 37.6/s eta=94s
  2500/5933 (1776 skip, 594 nodisa, 0 fail) 37.9/s eta=90s
  2600/5933 (1853 skip, 617 nodisa, 0 fail) 38.3/s eta=87s
  2700/5933 (1931 skip, 639 nodisa, 0 fail) 38.6/s eta=84s
  2800/5933 (2005 skip, 665 nodisa, 0 fail) 38.7/s eta=81s
  2900/5933 (2074 skip, 696 nodisa, 0 fail) 38.9/s eta=78s
  3000/5933 (2147 skip, 723 nodisa, 0 fail) 38.7/s eta=76s
  3100/5933 (2215 skip, 755 nodisa, 0 fail) 38.7/s eta=73s
  3200/5933 (2276 skip, 794 nodisa, 0 fail) 38.0/s eta=72s
  3300/5933 (2354 skip, 816 nodisa, 0 fail) 38.3/s eta=69s
  3400/5933 (2427 skip, 843 nodisa, 0 fail) 38.4/s eta=66s
  3500/5933 (2508 skip, 862 nodisa, 0 fail) 38.6/s eta=63s
  3600/5933 (2588 skip, 882 nodisa, 0 fail) 39.0/s eta=60s
  3700/5933 (2666 skip, 904 nodisa, 0 fail) 39.4/s eta=57s
  3800/5933 (2746 skip, 924 nodisa, 0 fail) 39.7/s eta=54s
  3900/5933 (2827 skip, 943 nodisa, 0 fail) 40.2/s eta=51s
  4000/5933 (2903 skip, 967 nodisa, 0 fail) 40.2/s eta=48s
  4100/5933 (2987 skip, 983 nodisa, 0 fail) 40.8/s eta=45s
  4200/5933 (3069 skip, 1001 nodisa, 0 fail) 41.0/s eta=42s
  4300/5933 (3150 skip, 1020 nodisa, 0 fail) 41.3/s eta=40s
  4400/5933 (3232 skip, 1038 nodisa, 0 fail) 41.6/s eta=37s
  4500/5933 (3313 skip, 1057 nodisa, 0 fail) 41.9/s eta=34s
  4600/5933 (3397 skip, 1073 nodisa, 0 fail) 42.4/s eta=31s
  4700/5933 (3477 skip, 1093 nodisa, 0 fail) 42.6/s eta=29s
  4800/5933 (3557 skip, 1113 nodisa, 0 fail) 42.9/s eta=26s
  4900/5933 (3646 skip, 1124 nodisa, 0 fail) 43.4/s eta=24s
  5000/5933 (3719 skip, 1151 nodisa, 0 fail) 43.5/s eta=21s
  5100/5933 (3801 skip, 1169 nodisa, 0 fail) 43.8/s eta=19s
  5200/5933 (3878 skip, 1192 nodisa, 0 fail) 44.0/s eta=17s
  5300/5933 (3957 skip, 1213 nodisa, 0 fail) 44.2/s eta=14s
  5400/5933 (4036 skip, 1234 nodisa, 0 fail) 44.3/s eta=12s
  5500/5933 (4113 skip, 1257 nodisa, 0 fail) 44.4/s eta=10s
  5600/5933 (4194 skip, 1276 nodisa, 0 fail) 44.6/s eta=7s
  5700/5933 (4271 skip, 1299 nodisa, 0 fail) 44.8/s eta=5s
  5800/5933 (4346 skip, 1324 nodisa, 0 fail) 44.8/s eta=3s
  5900/5933 (4429 skip, 1341 nodisa, 0 fail) 45.0/s eta=1s
DONE: 5933 in 133.2s
