Reviewing 44651 records with 24 workers
  200/44651 (200 skip, 0 err) 13.6/s eta=3263s
  400/44651 (400 skip, 0 err) 27.2/s eta=1625s
  600/44651 (600 skip, 0 err) 40.9/s eta=1078s
  800/44651 (800 skip, 0 err) 54.5/s eta=805s
  1000/44651 (1000 skip, 0 err) 68.1/s eta=641s
  1200/44651 (1200 skip, 0 err) 81.7/s eta=532s
  1400/44651 (1400 skip, 0 err) 95.3/s eta=454s
  1600/44651 (1600 skip, 0 err) 108.9/s eta=395s
  1800/44651 (1800 skip, 0 err) 122.5/s eta=350s
  2000/44651 (2000 skip, 0 err) 136.1/s eta=313s
  2200/44651 (2200 skip, 0 err) 149.7/s eta=284s
  2400/44651 (2400 skip, 0 err) 163.3/s eta=259s
  2600/44651 (2600 skip, 0 err) 176.9/s eta=238s
  2800/44651 (2800 skip, 0 err) 190.5/s eta=220s
  3000/44651 (3000 skip, 0 err) 204.1/s eta=204s
  3200/44651 (3200 skip, 0 err) 217.7/s eta=190s
  3400/44651 (3400 skip, 0 err) 231.3/s eta=178s
  3600/44651 (3600 skip, 0 err) 244.8/s eta=168s
  3800/44651 (3782 skip, 0 err) 258.4/s eta=158s
  4000/44651 (3966 skip, 0 err) 272.0/s eta=149s
  4200/44651 (4166 skip, 0 err) 285.4/s eta=142s
  4400/44651 (4361 skip, 0 err) 299.0/s eta=135s
  4600/44651 (4560 skip, 0 err) 312.5/s eta=128s
  4800/44651 (4760 skip, 0 err)  5200/44651 (0 skip, 6 err) 3.0/s eta=13142s
  5400/44651 (0 skip, 6 err) 3.0/s eta=13059s
  5600/44651 (0 skip, 6 err) 3.0/s eta=12994s
  5800/44651 (0 skip, 6 err) 3.0/s eta=12984s
  6000/44651 (0 skip, 6 err) 3.0/s eta=12857s
  6200/44651 (0 skip, 6 err) 3.0/s eta=12766s
  6400/44651 (0 skip, 6 err) 3.0/s eta=12679s
  6600/44651 (0 skip, 7 err) 3.0/s eta=12577s
  6800/44651 (0 skip, 7 err) 3.0/s eta=12506s
  7000/44651 (0 skip, 7 err) 3.0/s eta=12423s
  7200/44651 (0 skip, 7 err) 3.0/s eta=12310s
  7400/44651 (0 skip, 7 err) 3.1/s eta=12202s
  7600/44651 (0 skip, 7 err) 3.1/s eta=12105s
  7800/44651 (0 skip, 7 err) 3.1/s eta=11994s
  8000/44651 (0 skip, 7 err) 3.1/s eta=11890s
  8200/44651 (0 skip, 7 err) 3.1/s eta=11818s
  8400/44651 (0 skip, 7 err) 3.1/s eta=11722s
  8600/44651 (0 skip, 7 err) 3.1/s eta=11644s
  8800/44651 (0 skip, 7 err) 3.1/s eta=11576s
  9000/44651 (0 skip, 7 err) 3.1/s eta=11503s
  9200/44651 (0 skip, 7 err) 3.1/s eta=11428s
  9400/44651 (0 skip, 7 err) 3.1/s eta=11369s
  9600/44651 (0 skip, 7 err) 3.1/s eta=11312s
  9800/44651 (0 skip, 7 err) 3.1/s eta=11214s
  10000/44651 (0 skip, 7 err) 3.1/s eta=11179s
  10200/44651 (0 skip, 7 err) 3.1/s eta=11136s
  10400/44651 (0 skip, 7 err) 3.1/s eta=11086s
  10600/44651 (0 skip, 7 err) 3.1/s eta=11020s
  10800/44651 (0 skip, 7 err) 3.1/s eta=10951s
  11000/44651 (0 skip, 7 err) 3.1/s eta=10857s
