Reviewing 44651 records with 24 workers
  200/44651 (200 skip, 0 err) 27.6/s eta=1608s
  400/44651 (400 skip, 0 err) 55.3/s eta=800s
  600/44651 (600 skip, 0 err) 82.9/s eta=531s
  800/44651 (800 skip, 0 err) 110.5/s eta=397s
  1000/44651 (1000 skip, 0 err) 138.1/s eta=316s
  1200/44651 (1200 skip, 0 err) 165.7/s eta=262s
  1400/44651 (1400 skip, 0 err) 193.1/s eta=224s
  1600/44651 (1600 skip, 0 err) 220.6/s eta=195s
  1800/44651 (1800 skip, 0 err) 248.1/s eta=173s
  2000/44651 (2000 skip, 0 err) 275.7/s eta=155s
  2200/44651 (2200 skip, 0 err) 302.7/s eta=140s
  2400/44651 (2400 skip, 0 err) 330.2/s eta=128s
  2600/44651 (2600 skip, 0 err) 357.7/s eta=118s
  2800/44651 (2800 skip, 0 err) 385.2/s eta=109s
  3000/44651 (3000 skip, 0 err) 412.1/s eta=101s
  3200/44651 (3200 skip, 0 err) 439.3/s eta=94s
  3400/44651 (3400 skip, 0 err) 466.5/s eta=88s
  3600/44651 (3600 skip, 0 err) 493.7/s eta=83s
  3800/44651 (3800 skip, 0 err) 520.3/s eta=79s
  4000/44651 (4000 skip, 0 err) 547.6/s eta=74s
  4200/44651 (4200 skip, 0 err) 574.9/s eta=70s
  4400/44651 (4400 skip, 0 err) 601.9/s eta=67s
  4600/44651 (4600 skip, 0 err) 629.1/s eta=64s
  4800/44651 (4800 skip, 0 err) 656.2/s eta=61s
  5000/44651 (5000 skip, 0 err) 682.7/s eta=58s
  5200/44651 (5200 skip, 0 err) 709.9/s eta=56s
  5400/44651 (5400 skip, 0 err) 736.7/s eta=53s
  5600/44651 (5600 skip, 0 err) 763.9/s eta=51s
  5800/44651 (5800 skip, 0 err) 790.4/s eta=49s
  6000/44651 (6000 skip, 0 err) 817.6/s eta=47s
  6200/44651 (6200 skip, 0 err) 844.3/s eta=46s
  6400/44651 (6400 skip, 0 err) 871.0/s eta=44s
  6600/44651 (6600 skip, 0 err) 897.7/s eta=42s
  6800/44651 (6800 skip, 0 err) 924.1/s eta=41s
  7000/44651 (7000 skip, 0 err) 950.5/s eta=40s
  7200/44651 (7200 skip, 0 err) 976.2/s eta=38s
  7400/44651 (7400 skip, 0 err) 1003.2/s eta=37s
  7600/44651 (7600 skip, 0 err) 1030.1/s eta=36s
  7800/44651 (7800 skip, 0 err) 1055.0/s eta=35s
  8000/44651 (8000 skip, 0 err) 1081.9/s eta=34s
  8200/44651 (8200 skip, 0 err) 1108.3/s eta=33s
  8400/44651 (8400 skip, 0 err) 1133.3/s eta=32s
  8600/44651 (8600 skip, 0 err) 1160.1/s eta=31s
  8800/44651 (8800 skip, 0 err) 1186.5/s eta=30s
  9000/44651 (9000 skip, 0 err) 1210.9/s eta=29s
  9200/44651 (9200 skip, 0 err) 1237.6/s eta=29s
  9400/44651 (9400 skip, 0 err) 1264.2/s eta=28s
  9600/44651 (9600 skip, 0 err) 1288.6/s eta=27s
  9800/44651 (9800 skip, 0 err) 1315.3/s eta=26s
  10000/44651 (10000 skip, 0 err) 1342.0/s eta=26s
  10200/44651 (10200 skip, 0 err) 1365.3/s eta=25s
  10400/44651 (10400 skip, 0 err) 1391.9/s eta=25s
  10600/44651 (10600 skip, 0 err) 1418.5/s eta=24s
  10800/44651 (10800 skip, 0 err) 1442.0/s eta=23s
  11000/44651 (11000 skip, 0 err) 1468.5/s eta=23s
  11200/44651 (11200 skip, 0 err) 1495.0/s eta=22s
  11400/44651 (11400 skip, 0 err) 1521.5/s eta=22s
  11600/44651 (11600 skip, 0 err) 1543.7/s eta=21s
  11800/44651 (11800 skip, 0 err) 1569.9/s eta=21s
  12000/44651 (12000 skip, 0 err) 1596.3/s eta=20s
  12200/44651 (12200 skip, 0 err) 1618.4/s eta=20s
  12400/44651 (12400 skip, 0 err) 1644.7/s eta=20s
  12600/44651 (12600 skip, 0 err) 1671.1/s eta=19s
  12800/44651 (12800 skip, 0 err) 1694.0/s eta=19s
  13000/44651 (13000 skip, 0 err) 1720.3/s eta=18s
  13200/44651 (13200 skip, 0 err) 1746.5/s eta=18s
  13400/44651 (13400 skip, 0 err) 1771.9/s eta=18s
  13600/44651 (13600 skip, 0 err) 1795.3/s eta=17s
  13800/44651 (13800 skip, 0 err) 1821.5/s eta=17s
  14000/44651 (14000 skip, 0 err) 1847.6/s eta=17s
  14200/44651 (14200 skip, 0 err) 1870.1/s eta=16s
  14400/44651 (14400 skip, 0 err) 1896.2/s eta=16s
  14600/44651 (14600 skip, 0 err) 1922.3/s eta=16s
  14800/44651 (14800 skip, 0 err) 1944.5/s eta=15s
